jumlah_kamar_tidur,jumlah_kamar_mandi,luas_tanah,luas_bangunan,harga_jual
2,3,1383.0,250.0,1650000000.0
3,2,178.0,120.0,450000000.0
2,1,60.0,36.0,166000000.0
3,3,110.0,110.0,280000000.0
2,2,915.0,300.0,750000000.0
3,2,106.0,106.0,750000000.0
2,1,60.0,39.0,166000000.0
3,3,1300.0,100.0,1500000000.0
2,1,36.0,60.0,75000000.0
3,2,400.0,200.0,450000000.0
1,1,64.0,64.0,280000000.0
3,3,729.0,150.0,750000000.0
3,2,126.0,126.0,870000000.0
3,3,729.0,150.0,800000000.0
2,1,132.0,132.0,145000000.0
3,2,500.0,100.0,700000000.0
2,2,95.0,160.0,450000000.0
2,1,60.0,60.0,150000000.0
2,1,60.0,50.0,200000000.0
2,1,60.0,36.0,245000000.0
2,1,60.0,30.0,150500000.0
2,1,60.0,60.0,130000000.0
3,2,110.0,70.0,450000000.0
2,1,60.0,66.0,166000000.0
7,1,180.0,54.0,500000000.0
2,1,66.0,36.0,170000000.0
3,2,1500.0,950.0,1500000000.0
2,1,103.0,40.0,310000000.0
3,2,400.0,250.0,450000000.0
3,2,1350.0,100.0,1500000000.0
4,2,690.0,112.0,1800000000.0
2,1,60.0,32.0,166000000.0
2,2,75.0,75.0,220000000.0
2,1,60.0,36.0,35000000.0
3,2,300.0,230.0,600000000.0
2,1,1800.0,300.0,700000000.0
4,4,800.0,150.0,1700000000.0
3,2,340.0,340.0,800000000.0
2,1,70.0,36.0,250000000.0
3,1,200.0,100.0,150000000.0
2,1,36.0,60.0,166000000.0
2,1,84.0,36.0,300000000.0
2,1,60.0,60.0,239000000.0
2,1,60.0,60.0,79000000.0
2,1,123.0,120.0,400000000.0
3,2,1000.0,200.0,1750000000.0
