KT,KM,LT_m2,LB_m2,harga_rupiah
2,3,1383.0,250.0,1650000000
3,2,178.0,120.0,450000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
3,3,110.0,110.0,280000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,2,915.0,300.0,750000000
3,2,106.0,106.0,750000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,39.0,166000000
2,1,60.0,36.0,166000000
3,3,1300.0,100.0,1500000000
2,1,36.0,60.0,75000000
6,4,3830.0,231.0,2500000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
3,2,400.0,200.0,450000000
2,1,60.0,36.0,166000000
1,1,64.0,64.0,280000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
3,3,729.0,150.0,750000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
2,1,60.0,36.0,166000000
